OBJECTID,SOURCE_ID,COUNTRY,NAME,LEAST_DEPTH,MAX_DEPTH,DEPTH_INFO,DEPTH_PREC,OBJECT_LENGTH,LOC_PREC,SITE_AREA,SINK_CONTEXT,SINK_YR,DATING,PERIOD,STATUTORY_PROT,OBJ_DESC,SHIP_CHAR,OBJ_TYPE,EST_TONNAGE,PLACE_ORIG,PLACE_DEST,ARTEFACTS,COAST_DIST,SOURCE_INFO,REFERENCE,WEBSITE1,WEBSITE2
"1304",FR 0000002095 00001,France,MOUSSE-BIHAN 4,,,n.a.,Unknown depth,,1853.3,,"Sank on March 13, 1978 after hitting a rock at Le Trépied near Toulinguet while on his way to Camaret","1978",n.a.,n.a.,n.a.,n.a.,trawler - tuna boat,"Fishing boat, trawler",,n.a.,n.a.,n.a.,3686.13447297,SHOM,n.a.,n.a.,n.a.
"1305",FR 0000004323 00001,France,n.a.,,,n.a.,Unknown depth,,500,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,77438.3468286,SHOM,n.a.,n.a.,n.a.
"1306",FR 0000002048 00001,France,n.a.,85.8,,n.a.,Least depth known,105,5.9,,n.a.,,n.a.,n.a.,n.a.,"11/10/2016: Email from Jacques Huitric giving the following information following a dive on the site. It is a freighter which was obviously transporting coal (photos). The high point of the wreck is a very large boiler (photos) behind which there is an imposing triple expansion machine (photos). The rest of the wreckage is very dislocated and the sand partially covers it. The back is towards the mainland while the front is towards Ouessant. We have made photos classified under ScanWrecks. I also attach the profile of the dive: 94m, 18 minutes depth and 104 minutes of decompression. This dive was possible on Saturday 08/10/2016 because finally all the conditions were met (coef 39, beautiful sea), but the dive time was late, around 4:45 p.m.. 2009: width=28m xx/xx/2003: Wreck 104 meters long and oriented at 252°. The eastern part stands out 5 meters from the whole wreckage. The highest part is the middle. There's a lot of sheet metal around. 02/12/1973: Height above the bottom = 8 meters",Ship,n.a.,,n.a.,n.a.,n.a.,8764.19843439,SHOM,n.a.,n.a.,n.a.
"1307",FR 0000002329 00001,France,VOLONTA,,,n.a.,Unknown depth,,501.3,,Sank on 04/12/1955,"1955",n.a.,n.a.,n.a.,n.a.,Cargo,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,142.606662021,SHOM,n.a.,n.a.,n.a.
"1308",FR 0000170367 00001,France,n.a.,73.5,,n.a.,Least depth known,65,5.8,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,8067.66296346,SHOM,n.a.,n.a.,n.a.
"1309",FR 0000002440 00001,France,RUSH,89,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,1853.5,,"Sank on August 19, 1982 following a collision with the Brazilian container ship 'Itanage'. The accident took place in calm seas and good visibility; the entire crew was picked up by a super hornet","1982",n.a.,n.a.,n.a.,n.a.,Trawler,"Fishing boat, trawler",,n.a.,n.a.,n.a.,18545.3642562,SHOM,n.a.,n.a.,n.a.
"1310",FR 0000002336 00001,France,U 55,88,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,1852,,Was sunk on 01/30/1940 by a 'Liberator' type aircraft,"1940",n.a.,n.a.,n.a.,n.a.,Submarine type 7 B,Submarine,,n.a.,n.a.,n.a.,29370.4096202,SHOM,n.a.,n.a.,n.a.
"1311",FR 0000001916 00001,France,SURCOUF,71,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,1853.3,,Sank on 04/18/1917,"1917",n.a.,n.a.,n.a.,n.a.,Schooner,Schooner,,n.a.,n.a.,n.a.,13039.3112506,SHOM,n.a.,n.a.,n.a.
"1312",FR 0000001928 00001,France,TABOGA,0.6,,n.a.,Least depth known,100,10,,Sank 14/04/1953,"1953",n.a.,n.a.,n.a.,"Wreck lying on the bottom, heavily destroyed. The position corresponds to the rear of the wreck. Presence of sheets. Heading towards 090 °, we find the boilers and the bow. Nature of the high point: boiler",Steamer,Steamboat,,n.a.,n.a.,n.a.,1494.48293433,SHOM,n.a.,n.a.,n.a.
"1313",FR 0000001927 00001,France,LAKE BORGNE,8.9,,n.a.,Least depth known,60,11.2,,Shipwreck on 10/21/1918 by tailgating in the Plâtresses area,"1918",n.a.,n.a.,n.a.,"10/10/2005: wreckage lying on the starboard side, facing east/west. Complete hull over 60 m. long, center well preserved, rear part most degraded. Maximum height on the bottom 10 m. , average 7 m. A boiler rolled 15 m. south of the wreck. xx/08/2005: front broken and returned forming a metal vault","4th det. : 2005, see copy of the complete file from the site www.csa-diving.com 1 st det. : 1922, Loading of coal and war material. Coal steamer",Coal cargo ship,,n.a.,n.a.,n.a.,3006.10097034,SHOM,n.a.,n.a.,n.a.
"1314",FR 0000001924 00001,France,THROSTLE,2.9,,n.a.,Least depth known,,500,,Sank on 06/13/1919,"1919",n.a.,n.a.,n.a.,n.a.,Steamer,Steamboat,,n.a.,n.a.,n.a.,3390.75977366,SHOM,n.a.,n.a.,n.a.
"1315",FR 0000001922 00001,France,n.a.,,,n.a.,Unknown depth,,500,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,4476.26714609,SHOM,n.a.,n.a.,n.a.
"1316",FR 0000001917 00001,France,GYLLER,,,n.a.,Unknown depth,,500,,Sank on 09/09/1918,"1918",n.a.,n.a.,n.a.,n.a.,Cargo,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,2150.63513373,SHOM,n.a.,n.a.,n.a.
"1317",FR 0000002334 00001,France,n.a.,,,n.a.,Unknown depth,,1852,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,17169.8967004,SHOM,n.a.,n.a.,n.a.
"1318",FR 0000134125 00001,France,CAP HORN,,,n.a.,Unknown depth,10,200,,Sank on 05/24/2004 at 1:00 p.m. following a waterway whose origin is unknown,"2004",n.a.,n.a.,n.a.,Seaweed 10 m. ,10 meter seaweed,"Fishing boat, trawler",,n.a.,n.a.,n.a.,4120.25180421,SHOM,n.a.,n.a.,n.a.
"1319",FR 0000133440 00001,France,n.a.,80,,n.a.,Least depth known,,101.2,,Crash on 08/12/2003,"2003",n.a.,n.a.,n.a.,"The plane is lying on the roof. The engine block is detached from the entire cabin. Wreck oriented 070/250. Due to the separation of the engine block from the assembly, it is possible that, under the action of the current on the remaining wing and following the intervention of the divers to recover the bodies, the aircraft may tip over","PIPER PA28R-201 Arrow IV type aircraft, IFR classified. Autonomy: 6 h., Propeller diameter: 1.86 m. , power: 203 hp., cruising speed: 140 kt",Aircraft,,n.a.,n.a.,n.a.,5050.28274306,SHOM,n.a.,n.a.,n.a.
"1320",FR 0000002131 00001,France,COLOMBIAN,46,,n.a.,Least depth known,80,5,,The Colombian sank on 01/17/1865,"1865",n.a.,n.a.,n.a.,"1987: the hull, placed flat on the bottom, is relatively well preserved; the high point is the top of the machines. 3rd det. (2012): the high point is the footbridge. Presence of charcoal, earthenware. Elongated wreck, not subject to the current, always diveable, even by high coefficient, out of the slack","3 mixed masts, equipped with a 180 hp machine. Cargo consisting of 300 tons of coal and 900 tons of goods, mainly crockery",Old merchant ship,,n.a.,n.a.,n.a.,4841.99536691,SHOM,n.a.,n.a.,n.a.
"1321",FR 0000214159 00003,France,n.a.,102.1,,n.a.,Least depth known,55,3.6,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,19035.4962092,SHOM,n.a.,n.a.,n.a.
"1322",FR 0000002326 00001,France,n.a.,,,n.a.,Unknown depth,,1852,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,1106.84592206,SHOM,n.a.,n.a.,n.a.
"1323",FR 0000002441 00001,France,VESPER,,,n.a.,Unknown depth,,1853.3,,"The VESPER ran aground in foggy weather on November 2, 1903 with a load of wine","1903",n.a.,n.a.,n.a.,n.a.,Cargo ship built in 1897 in Newcastle and bought in 1899 by the Compagnie des Vapeurs de Charge Français,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,411.620697377,SHOM,n.a.,n.a.,n.a.
"1324",FR 0000002439 00001,France,TEUCER,28,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,501.3,,Sank on 05/31/1885 during a Singapore-Amsterdam transit,"1885",n.a.,n.a.,n.a.,n.a.,Cargo,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,880.898930954,SHOM,n.a.,n.a.,n.a.
"1325",FR 0000002437 00001,France,PETER SIF,31.7,,n.a.,Least depth known,91,5,,"Sank on 15/11/1979 following the loss of two containers in bad weather. The ship having heeled, it reached the shelter of Lampaul Bay, but the swell prevented the transfer of the pump on board, the crew was hoisted and the boat anchored not far from the Korz rock, waiting for a lull. In the early evening the ship capsized and sank following a leak","1979",n.a.,n.a.,n.a.,"26/11/2001: Wreck oriented East West. xx/xx/1987: (Oceans magazine n°160 of April 1987), cargo lying on the port side, in very good condition, hatch covers open, mast collapsed",Large cargo container ship,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,719.727705178,SHOM,n.a.,n.a.,n.a.
"1326",FR 0000002317 00001,France,U xxx,70,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,1855.5,,Was sunk in 1917 by the three-masted Goélette Kléber from Saint-Malo,"1917",n.a.,n.a.,n.a.,n.a.,Submarine,Submarine,,n.a.,n.a.,n.a.,6645.42903419,SHOM,n.a.,n.a.,n.a.
"1327",FR 0000001882 00001,France,n.a.,,,n.a.,Unknown depth,,1852,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,40135.1987666,SHOM,n.a.,n.a.,n.a.
"1328",FR 0000002065 00001,France,n.a.,,,n.a.,Unknown depth,,1852,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,41529.4347419,SHOM,n.a.,n.a.,n.a.
"1329",FR 0000002298 00001,France,RISOY ?,82,,n.a.,Least depth known,,500,,Sank on 10/22/1916,"1916",n.a.,n.a.,n.a.,n.a.,Commercial building,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,30092.2394051,SHOM,n.a.,n.a.,n.a.
"1330",FR 0000002299 00001,France,VORDINGBORG,80,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,1855.5,,Sank on 07/12/1917,"1917",n.a.,n.a.,n.a.,n.a.,Commercial building,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,27776.3777572,SHOM,n.a.,n.a.,n.a.
"1331",FR 0000002300 00001,France,BANGO,,,n.a.,Unknown depth,,1852,,Sank on 04/27/1917,"1917",n.a.,n.a.,n.a.,n.a.,Commercial building,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,27792.3250812,SHOM,n.a.,n.a.,n.a.
"1332",FR 0000002422 00001,France,MARGA,85,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,9263.5,,"Sunk by a German submarine on November 9, 1916, en route from Cardiff to Lorient","1916",n.a.,n.a.,n.a.,n.a.,Transport of 854 tonnes of coal. Steam Cargo,Steamboat,,n.a.,n.a.,n.a.,26385.7201333,SHOM,n.a.,n.a.,n.a.
"1333",FR 0000002291 00001,France,n.a.,,,n.a.,Unknown depth,,1852,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,40931.7646497,SHOM,n.a.,n.a.,n.a.
"1334",FR 0000002379 00001,France,n.a.,,,n.a.,Unknown depth,,1852,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,46230.4921164,SHOM,n.a.,n.a.,n.a.
"1335",FR 0000002289 00001,France,CORINTO,91.4,,n.a.,Least depth known,,1852,,Sank on 12/09/1917,"1917",n.a.,n.a.,n.a.,n.a.,Commercial building,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,44333.3902952,SHOM,n.a.,n.a.,n.a.
"1336",FR 0000002429 00001,France,n.a.,,,n.a.,Unknown depth,,1852,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,34816.5981296,SHOM,n.a.,n.a.,n.a.
"1337",FR 0000002427 00001,France,ALFRED DE COURCY,80,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,1855.5,,Was sunk on 11/25/1916 by a submarine,"1916",n.a.,n.a.,n.a.,n.a.,Sailing ship,Sailing ship,,n.a.,n.a.,n.a.,38893.171038,SHOM,n.a.,n.a.,n.a.
"1338",FR 0000002296 00001,France,FLIMSTON,75,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,1855.5,,Was sunk on 12/18/1916 by a German submarine,"1916",n.a.,n.a.,n.a.,n.a.,Commercial building,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,37039.9532995,SHOM,n.a.,n.a.,n.a.
"1339",FR 0000002297 00001,France,n.a.,,,n.a.,Unknown depth,,1852,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,31516.8491041,SHOM,n.a.,n.a.,n.a.
"1340",FR 0000002069 00001,France,MARSALA,81,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,1855.5,,"En route from Savona to Hamburg, sank after colliding with TAFNA on 04/08/1938","1938",n.a.,n.a.,n.a.,n.a.,Large cargo ship,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,26042.4428775,SHOM,n.a.,n.a.,n.a.
"1341",FR 0000002071 00001,France,MAINDY KEEP,86,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,1855.5,,Sank on 08/18/1924 during a trip from Swansea to Bordeaux,"1924",n.a.,n.a.,n.a.,n.a.,Large cargo ship,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,24814.4819088,SHOM,n.a.,n.a.,n.a.
"1342",FR 0000002094 00001,France,PASCAL ANDRE MICKAEL,74,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,1855.5,,Wrecked on 01/09/1978 following a water leak,"1978",n.a.,n.a.,n.a.,n.a.,Trawler,"Fishing boat, trawler",,n.a.,n.a.,n.a.,36293.207367,SHOM,n.a.,n.a.,n.a.
"1343",FR 0000002288 00001,France,VENBORE,85,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,1855.5,,Was torpedoed and sunk on 03/24/1918 by a German submarine,"1918",n.a.,n.a.,n.a.,n.a.,Commercial building,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,45055.3626301,SHOM,n.a.,n.a.,n.a.
"1344",FR 0000001888 00001,France,HANSI,85,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,1855.5,,Sunk on 01/07/1917,"1917",n.a.,n.a.,n.a.,n.a.,Steamer,Steamboat,,n.a.,n.a.,n.a.,28793.7048271,SHOM,n.a.,n.a.,n.a.
"1345",FR 0000002293 00001,France,NORMAND,100.8,,n.a.,Least depth known,62,3.6,,Was sunk on 05/20/1917 by a submarine,"1917",n.a.,n.a.,n.a.,n.a.,Cargo,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,46686.8290324,SHOM,n.a.,n.a.,n.a.
"1346",FR 0000002315 00001,France,ASBJORN,101.9,,n.a.,Least depth known,61,3.6,,Was torpedoed on 03/10/1917 by a submarine,"1917",n.a.,n.a.,n.a.,n.a.,Steamer,Steamboat,,n.a.,n.a.,n.a.,22644.1849682,SHOM,n.a.,n.a.,n.a.
"1347",FR 0000214160 00003,France,n.a.,103.9,,n.a.,Least depth known,15,3.6,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,19391.1674337,SHOM,n.a.,n.a.,n.a.
"1348",FR 0000002385 00001,France,n.a.,,,n.a.,Unknown depth,,500,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,33974.4286706,SHOM,n.a.,n.a.,n.a.
"1349",FR 0000002313 00001,France,GOOSBRIDGE,,,n.a.,Unknown depth,,1852,,Sank on 01/01/1917,"1917",n.a.,n.a.,n.a.,n.a.,Commercial building,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,20401.2913786,SHOM,n.a.,n.a.,n.a.
"1350",FR 0000002446 00001,France,n.a.,91.4,,n.a.,Least depth known,,1852,,n.a.,,n.a.,n.a.,n.a.,n.a.,Cargo,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,44401.3333501,SHOM,n.a.,n.a.,n.a.
"1351",FR 0000002492 00001,France,POLVENA,,,n.a.,Unknown depth,,1852,,Was sunk on 10/17/1917 by a submarine,"1917",n.a.,n.a.,n.a.,n.a.,Steamer,Steamboat,,n.a.,n.a.,n.a.,33698.8495803,SHOM,n.a.,n.a.,n.a.
"1352",FR 0000002445 00001,France,n.a.,91,,n.a.,Least depth known,,1852,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,36154.2337146,SHOM,n.a.,n.a.,n.a.
"1353",FR 0000002424 00001,France,n.a.,86,,n.a.,Least depth known,,100,,n.a.,,n.a.,n.a.,n.a.,n.a.,Cargo,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,35382.7407403,SHOM,n.a.,n.a.,n.a.
"1354",FR 0000002428 00001,France,n.a.,95.1,,n.a.,Least depth known,,100,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,40203.7846736,SHOM,n.a.,n.a.,n.a.
"1355",FR 0000002430 00001,France,n.a.,91.4,,n.a.,Least depth known,,1852,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,31515.2411971,SHOM,n.a.,n.a.,n.a.
"1356",FR 0000002070 00001,France,n.a.,,,n.a.,Unknown depth,,1852,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,30485.4184469,SHOM,n.a.,n.a.,n.a.
"1357",FR 0000002420 00001,France,UB 36,90,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,9263.5,,"Submarine type UB 36 sunk on May 21, 1917 following ramming with the French ship MOLIERE (info Mr Beauvois)","1917",n.a.,n.a.,n.a.,n.a.,Submarine,Submarine,,n.a.,n.a.,n.a.,25990.9170468,SHOM,n.a.,n.a.,n.a.
"1358",FR 0000002287 00001,France,HUDSON,80,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,1855.5,,Sank on 05/14/1917,"1917",n.a.,n.a.,n.a.,n.a.,Sailing ship,Sailing ship,,n.a.,n.a.,n.a.,53719.773051,SHOM,n.a.,n.a.,n.a.
"1359",FR 0000002392 00001,France,n.a.,124,,n.a.,Least depth known,,100,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,73203.5180126,SHOM,n.a.,n.a.,n.a.
"1360",FR 0000002477 00001,France,n.a.,113,,n.a.,Least depth known,120,100,,n.a.,,n.a.,n.a.,n.a.,"Length: 120m, orientation 060/240",n.a.,n.a.,,n.a.,n.a.,n.a.,58494.7375782,SHOM,n.a.,n.a.,n.a.
"1361",FR 0000002452 00001,France,n.a.,,,n.a.,Unknown depth,25,12.5,,n.a.,,n.a.,n.a.,n.a.,"Two pieces of debris spaced 25m apart, oriented at 020/200",n.a.,n.a.,,n.a.,n.a.,n.a.,44297.0080692,SHOM,n.a.,n.a.,n.a.
"1362",FR 0000002355 00001,France,EGYPT,101,,n.a.,Least depth known,150,13.5,,Collided with the icebreaker La Seine on 05/20/1922 during a transit from London to Bombay,"1922",n.a.,n.a.,n.a.,Height above the bottom = 17m,Ocean liner,Line liner,,n.a.,n.a.,n.a.,46190.8370479,SHOM,n.a.,n.a.,n.a.
"1363",FR 0000002358 00001,France,CARLOS,100,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,1852,,The Carlos sank on 12/06/1916,"1916",n.a.,n.a.,n.a.,n.a.,Steamer,Steamboat,,n.a.,n.a.,n.a.,47004.19089,SHOM,n.a.,n.a.,n.a.
"1364",FR 0000002370 00001,France,n.a.,100,,n.a.,Least depth known,130,103.5,,n.a.,,n.a.,n.a.,n.a.,"Height above the bottom = 18 meters; length = 130 meters; width = 15 meters; orientation: 10/280; wreck laid flat on the bottom, seems in good condition",Cargo,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,45449.2062972,SHOM,n.a.,n.a.,n.a.
"1365",FR 0000002359 00001,France,n.a.,,,n.a.,Unknown depth,,1852,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,49489.7072107,SHOM,n.a.,n.a.,n.a.
"1366",FR 0000156729 00001,France,NOSSI-KOMBA,70,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,500,,Sank on 07/24/2008 following a water leak,"2008",n.a.,n.a.,n.a.,n.a.,Wooden trawler built in 1981 and registered SB 523100,"Fishing boat, trawler",,n.a.,n.a.,n.a.,17364.1254589,SHOM,n.a.,n.a.,n.a.
"1367",FR 0000002449 00001,France,n.a.,95,,n.a.,Least depth known,55,12.5,,n.a.,,n.a.,n.a.,n.a.,"Height above the bottom = 18, 5m; Length: 55m; Orientation: 150",n.a.,n.a.,,n.a.,n.a.,n.a.,30015.9896491,SHOM,n.a.,n.a.,n.a.
"1368",FR 0000002483 00001,France,GUSTAVE ZEDE,87,,n.a.,"Least depth unknown, but estimated to be greater than indicated",72,102.5,,Sank on 06/22/1990 while being towed,"1990",n.a.,n.a.,n.a.,"03/10/1990: wreck in good condition, upright, slightly lying on starboard, oriented to 030","(eg MARCEL LE BIHAN, eg GREIF)",n.a.,,n.a.,n.a.,n.a.,31049.6488219,SHOM,n.a.,n.a.,n.a.
"1369",FR 0000002405 00001,France,BOEHLEN,83,,n.a.,Least depth known,150,102.5,,Sank on 10/13/1976,"1976",n.a.,n.a.,n.a.,"Height above the bottom = 20m; Orientation: 230., 1991: broken wreck, three masts clearly visible, height of the highest mast estimated at 24m according to the measurement of the projected shadow",Oil tanker,"Tanker, tanker, oil tanker, cargo ship",,n.a.,n.a.,n.a.,27137.9096734,SHOM,n.a.,n.a.,n.a.
"1370",FR 0000002356 00001,France,n.a.,,,n.a.,Unknown depth,,1852,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,24637.4729365,SHOM,n.a.,n.a.,n.a.
"1371",FR 0000003172 00001,France,n.a.,20,,n.a.,Least depth known,,25.3,,n.a.,,n.a.,n.a.,n.a.,oriented 030/210. Height above the bottom = 1m,Boat (small),Dinghy (light craft),,n.a.,n.a.,n.a.,14945.2579782,SHOM,n.a.,n.a.,n.a.
"1372",FR 0000002762 00001,France,n.a.,28.4,,n.a.,Least depth known,25,20.5,,n.a.,,n.a.,n.a.,n.a.,"1954: submarine broken in two, protruding very little from the bottom. 1954: lying upright on the bottom (sketch), metallic wreck, entire, partially silted up; silhouette of a tugboat, no roughness on the deck; high point: coachroof 5m; the shape of the coachroof may suggest that this wreck is a submarine; the presence of a skylight and the shape of the transom seem to invalidate this hypothesis. 1968: metallic wreck partly silted up; entire wreckage. 1979: not found 1987: divers' examination of CM Calliope: trawler laid flat, oriented 300/120, average condition, length 25m, width 5m, high point bridge block. 1991: according to Mr. Montier, amateur diver, would be a small building of the PBR type (refueling building)",Refueling building (PBR) = propeller tank,Supply boat,,n.a.,n.a.,n.a.,20554.6065578,SHOM,n.a.,n.a.,n.a.
"1373",FR 0000003050 00001,France,HMS COMPUTATOR,25.2,,n.a.,Least depth known,25,12.5,,Sank on 10/11/1945,"1945",n.a.,n.a.,n.a.,"Height above the bottom = 8,2m; length = 25m; oriented to 090",n.a.,n.a.,,n.a.,n.a.,n.a.,40757.8397345,SHOM,n.a.,n.a.,n.a.
"1374",FR 0000003130 00001,France,n.a.,27,,n.a.,Least depth known,,10,,n.a.,,n.a.,n.a.,n.a.,Height above the bottom = 5.0m. 1994: dive of Mr COULON: wreck in 3 parts. Partially silted up. Gîte: 45 ° on the port,Cargo,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,25948.1917022,SHOM,n.a.,n.a.,n.a.
"1375",FR 0000003095 00001,France,n.a.,31.4,,n.a.,Least depth known,12,10,,n.a.,,n.a.,n.a.,n.a.,"Height above the bottom = 2.1m; Length = 12m",n.a.,n.a.,,n.a.,n.a.,n.a.,30166.2975296,SHOM,n.a.,n.a.,n.a.
"1376",FR 0000002733 00001,France,n.a.,20.2,,n.a.,Least depth known,,10,,n.a.,,n.a.,n.a.,n.a.,"Landing caissons oriented NE / SW, the main caissons are surrounded by debris covering an area of 30 meters in radius. Height above the bottom = 4.60 meters",Pontoon,Pontoon,,n.a.,n.a.,n.a.,28081.274724,SHOM,n.a.,n.a.,n.a.
"1377",FR 0000003220 00001,France,BONNE SAINTE RITA,25.5,,n.a.,Least depth known,16,10,,Sank on 12/29/1986 during a dredge lifting maneuver,"1986",n.a.,n.a.,n.a.,"wreck lying on port side at 85 degrees; heading north. ; 2nd determination: length = 16m, oriented 025/205",1965 steel construction equipped with tangled shell dredge. Trawler,"Fishing boat, trawler",,n.a.,n.a.,n.a.,15363.7408449,SHOM,n.a.,n.a.,n.a.
"1378",FR 0000003097 00001,France,n.a.,23.5,,n.a.,Least depth known,,10,,n.a.,,n.a.,n.a.,n.a.,Height above the bottom = 3m,n.a.,n.a.,,n.a.,n.a.,n.a.,26755.0281876,SHOM,n.a.,n.a.,n.a.
"1379",FR 0000003126 00001,France,n.a.,28.3,,n.a.,Least depth known,,10,,n.a.,,n.a.,n.a.,n.a.,Height above the bottom = 2.1m,n.a.,n.a.,,n.a.,n.a.,n.a.,22563.4591523,SHOM,n.a.,n.a.,n.a.
"1380",FR 0000003127 00001,France,SUFFOLK COAST,28.4,,n.a.,Least depth known,,10,,n.a.,,n.a.,n.a.,n.a.,Height above the bottom = 0.8m,n.a.,n.a.,,n.a.,n.a.,n.a.,16656.4485315,SHOM,n.a.,n.a.,n.a.
"1381",FR 0000003436 00001,France,n.a.,30,,n.a.,Least depth known,9.5,10,,n.a.,,n.a.,n.a.,n.a.,08/26/1991: Wreck 9.5 meters long and 5.1 meters high,Bugalet,Schooner,,n.a.,n.a.,n.a.,16224.1395925,SHOM,n.a.,n.a.,n.a.
"1382",FR 0000003106 00001,France,n.a.,37.9,,n.a.,Least depth known,100,10,,First World War,,n.a.,n.a.,n.a.,"Height above the bottom = 7.4m; length=100m; oriented E/W. ; 1992, according to Mr COULON, the wreck is keel in the air, the rear culminating towards the south. 4-blade steel propeller with a diameter of 2m. Possibly a mixed sail-motor freighter dating from the 1st World War",Cargo,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,31900.2906854,SHOM,n.a.,n.a.,n.a.
"1383",FR 0000002724 00001,France,n.a.,33,,n.a.,Least depth known,,10,,n.a.,,n.a.,n.a.,n.a.,Height above the bottom = 1.3m,n.a.,n.a.,,n.a.,n.a.,n.a.,22216.7242279,SHOM,n.a.,n.a.,n.a.
"1384",FR 0000003077 00001,France,n.a.,21.7,,n.a.,Least depth known,,10,,n.a.,,n.a.,n.a.,n.a.,height above the bottom = 4.8m,n.a.,n.a.,,n.a.,n.a.,n.a.,33422.1577248,SHOM,n.a.,n.a.,n.a.
"1385",FR 0000003179 00001,France,n.a.,24.2,,n.a.,Least depth known,,10,,n.a.,,n.a.,n.a.,n.a.,Height above the bottom = 1.2m,n.a.,n.a.,,n.a.,n.a.,n.a.,25632.1912965,SHOM,n.a.,n.a.,n.a.
